2019.02.28.16.48.18.217, INFO   , Logger filename: BB2019_Log_CAOC_Practice23_2019.02.28.16.48.17.416.txt
2019.02.28.16.49.25.871, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.25.891, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.26.031, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.26.051, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.26.112, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.26.132, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.26.213, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.26.231, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.26.331, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.26.351, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.26.431, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.26.451, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.26.531, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.26.551, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.26.631, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.26.651, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.26.711, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.26.731, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.26.811, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.26.831, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.26.911, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.26.931, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.011, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.031, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.27.131, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.27.151, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.251, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.271, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.27.332, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.27.352, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.431, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.451, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.27.511, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.27.531, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.612, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.632, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.27.691, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.27.711, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.792, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.812, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.27.852, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.27.871, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.27.951, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.27.971, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.31.151, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.31.171, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.31.311, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.31.331, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.31.392, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.31.411, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.31.531, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.31.552, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.31.632, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.31.652, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.31.751, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.31.771, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.31.831, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.31.851, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.31.931, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.31.952, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.32.072, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.32.092, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.32.135, INFO   , Disabled Init
2019.02.28.16.49.32.136, INFO   , Battery Voltage: 12.127580810546874
2019.02.28.16.49.32.137, COMMAND, org.usfirst.frc330.commands.IsFinishedFalse interrupted
2019.02.28.16.49.32.137, COMMAND, org.usfirst.frc330.autoCommands.DoNothing ended
2019.02.28.16.49.32.137, COMMAND, org.usfirst.frc330.commands.ManualLift ended
2019.02.28.16.49.32.139, COMMAND, org.usfirst.frc330.commands.HandOut ended
2019.02.28.16.49.32.140, COMMAND, org.usfirst.frc330.commands.AutoStear ended
2019.02.28.16.49.32.141, INFO   , Lift disabled
2019.02.28.16.49.32.141, INFO   , Hand disabled
2019.02.28.16.49.32.142, INFO   , Turning Roller off
2019.02.28.16.49.32.144, INFO   , Turning off Kicker
2019.02.28.16.49.32.144, INFO   , Turning Claw off
2019.02.28.16.49.32.673, INFO   , Teleop Init
2019.02.28.16.49.32.676, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.16.49.32.677, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.32.677, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.49.32.680, WARNING, Lift setpoint request below lower limit: -0.05372001953125
2019.02.28.16.49.33.333, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.16.49.33.351, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.49.37.815, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.16.49.37.815, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.49.37.832, COMMAND, org.usfirst.frc330.commands.LoadHatch initialized
2019.02.28.16.49.37.835, INFO   , Retracting Kicker
2019.02.28.16.49.37.836, INFO   , Opening Claw
2019.02.28.16.49.37.837, INFO   , Turning Roller off
2019.02.28.16.49.41.912, COMMAND, org.usfirst.frc330.commands.LoadHatch interrupted
2019.02.28.16.49.41.931, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense initialized
2019.02.28.16.49.41.931, COMMAND, org.usfirst.frc330.commands.RollerOff initialized
2019.02.28.16.49.41.931, INFO   , Turning Roller off
2019.02.28.16.49.41.931, COMMAND, org.usfirst.frc330.commands.RollerOff ended
2019.02.28.16.49.41.932, COMMAND, org.usfirst.frc330.commands.CloseClaw initialized
2019.02.28.16.49.41.933, INFO   , CLosing Claw
2019.02.28.16.49.41.933, COMMAND, org.usfirst.frc330.commands.CloseClaw ended
2019.02.28.16.49.41.933, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.49.42.452, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.49.42.452, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.49.42.459, INFO   , Lift Setpoint: 0.0
2019.02.28.16.49.42.463, INFO   , Lift Final Position: -0.05372001953125
2019.02.28.16.49.42.463, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.49.42.464, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.49.42.468, INFO   , Setting hand angle to: 57.0
2019.02.28.16.49.42.937, INFO   , Final wrist setpoint: 57.120703125
2019.02.28.16.49.42.941, INFO   , Final hand angle: 56.68125
2019.02.28.16.49.42.942, COMMAND, org.usfirst.frc330.commands.SetHandAngle ended
2019.02.28.16.49.42.942, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense ended
2019.02.28.16.49.42.953, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.49.42.953, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.49.44.971, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.49.44.991, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.16.49.46.312, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.16.49.46.331, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.49.47.792, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.49.47.812, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.16.49.52.912, COMMAND, org.usfirst.frc330.commands.TankDrive interrupted
2019.02.28.16.49.52.932, COMMAND, org.usfirst.frc330.commands.AutoStear initialized
2019.02.28.16.49.53.171, COMMAND, org.usfirst.frc330.commands.AutoStear interrupted
2019.02.28.16.49.53.191, COMMAND, org.usfirst.frc330.commands.TankDrive initialized
2019.02.28.16.49.59.652, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall initialized
2019.02.28.16.49.59.652, COMMAND, org.usfirst.frc330.commands.BallKickExtend initialized
2019.02.28.16.49.59.654, INFO   , Extending Kicker
2019.02.28.16.49.59.655, COMMAND, org.usfirst.frc330.commands.BallKickExtend ended
2019.02.28.16.49.59.655, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.49.59.771, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.49.59.772, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.16.49.59.773, INFO   , Opening Claw
2019.02.28.16.49.59.774, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.16.49.59.774, COMMAND, org.usfirst.frc330.commands.ReversePickup initialized
2019.02.28.16.49.59.775, INFO   , Reversing Roller
2019.02.28.16.49.59.776, COMMAND, org.usfirst.frc330.commands.ReversePickup ended
2019.02.28.16.49.59.776, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.00.792, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.50.00.792, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.01.252, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.16.50.01.272, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.50.01.492, INFO   , Turning Roller off
2019.02.28.16.50.01.494, INFO   , Retracting Kicker
2019.02.28.16.50.01.494, COMMAND, org.usfirst.frc330.commands.WaitCommand interrupted
2019.02.28.16.50.01.494, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall ended
2019.02.28.16.50.01.495, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall interrupted
2019.02.28.16.50.01.495, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.16.50.01.495, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.50.01.512, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup initialized
2019.02.28.16.50.01.513, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall initialized
2019.02.28.16.50.01.557, INFO   , Has Ball: false
2019.02.28.16.50.01.560, INFO   , Sensor: 8.447742907570834
2019.02.28.16.50.01.560, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall ended
2019.02.28.16.50.01.560, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.16.50.01.563, INFO   , Opening Claw
2019.02.28.16.50.01.563, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.16.50.01.564, COMMAND, org.usfirst.frc330.commands.RollerOn initialized
2019.02.28.16.50.01.625, INFO   , Turning Roller On to 1.0% speed
2019.02.28.16.50.01.626, COMMAND, org.usfirst.frc330.commands.RollerOn ended
2019.02.28.16.50.01.627, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.50.01.627, INFO   , Setting hand angle to: -49.5
2019.02.28.16.50.01.628, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.50.01.628, INFO   , Lift Setpoint: 0.0
2019.02.28.16.50.01.629, INFO   , Lift Final Position: -0.057749020996093754
2019.02.28.16.50.01.630, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.50.01.645, INFO   , Final wrist setpoint: -49.402734375
2019.02.28.16.50.01.647, INFO   , Final hand angle: 48.24375
2019.02.28.16.50.01.647, COMMAND, org.usfirst.frc330.commands.SetHandAngle interrupted
2019.02.28.16.50.01.647, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup ended
2019.02.28.16.50.01.647, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup interrupted
2019.02.28.16.50.01.660, COMMAND, org.usfirst.frc330.commands.commandgroups.Defense initialized
2019.02.28.16.50.01.660, COMMAND, org.usfirst.frc330.commands.BallKickRetract initialized
2019.02.28.16.50.01.662, INFO   , Retracting Kicker
2019.02.28.16.50.01.663, COMMAND, org.usfirst.frc330.commands.BallKickRetract ended
2019.02.28.16.50.01.663, COMMAND, org.usfirst.frc330.commands.RollerOn initialized
2019.02.28.16.50.01.664, INFO   , Turning Roller On to 0.1% speed
2019.02.28.16.50.01.664, COMMAND, org.usfirst.frc330.commands.RollerOn ended
2019.02.28.16.50.01.664, COMMAND, org.usfirst.frc330.commands.CloseClaw initialized
2019.02.28.16.50.01.665, INFO   , CLosing Claw
2019.02.28.16.50.01.665, COMMAND, org.usfirst.frc330.commands.CloseClaw ended
2019.02.28.16.50.01.665, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.50.01.666, INFO   , Lift Setpoint: 0.0
2019.02.28.16.50.01.667, INFO   , Lift Final Position: -0.057749020996093754
2019.02.28.16.50.01.667, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.50.01.667, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.50.01.668, INFO   , Setting hand angle to: 57.0
2019.02.28.16.50.01.789, INFO   , Final wrist setpoint: 57.120703125
2019.02.28.16.50.01.791, INFO   , Final hand angle: 56.417578125
2019.02.28.16.50.01.791, COMMAND, org.usfirst.frc330.commands.SetHandAngle ended
2019.02.28.16.50.01.792, COMMAND, org.usfirst.frc330.commands.commandgroups.Defense ended
2019.02.28.16.50.01.807, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.50.01.808, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.50.06.552, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.16.50.06.552, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.50.06.571, COMMAND, org.usfirst.frc330.commands.LoadHatch initialized
2019.02.28.16.50.06.573, INFO   , Retracting Kicker
2019.02.28.16.50.06.575, INFO   , Opening Claw
2019.02.28.16.50.06.575, INFO   , Turning Roller off
2019.02.28.16.50.09.732, COMMAND, org.usfirst.frc330.commands.LoadHatch interrupted
2019.02.28.16.50.09.751, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense initialized
2019.02.28.16.50.09.752, COMMAND, org.usfirst.frc330.commands.RollerOff initialized
2019.02.28.16.50.09.752, INFO   , Turning Roller off
2019.02.28.16.50.09.752, COMMAND, org.usfirst.frc330.commands.RollerOff ended
2019.02.28.16.50.09.752, COMMAND, org.usfirst.frc330.commands.CloseClaw initialized
2019.02.28.16.50.09.754, INFO   , CLosing Claw
2019.02.28.16.50.09.754, COMMAND, org.usfirst.frc330.commands.CloseClaw ended
2019.02.28.16.50.09.755, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.10.271, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.50.10.271, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.50.10.272, INFO   , Lift Setpoint: 0.0
2019.02.28.16.50.10.273, INFO   , Lift Final Position: -0.05909202148437501
2019.02.28.16.50.10.273, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.50.10.273, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.50.10.274, INFO   , Setting hand angle to: 57.0
2019.02.28.16.50.10.753, INFO   , Final wrist setpoint: 57.120703125
2019.02.28.16.50.10.754, INFO   , Final hand angle: 56.15390625
2019.02.28.16.50.10.754, COMMAND, org.usfirst.frc330.commands.SetHandAngle ended
2019.02.28.16.50.10.755, COMMAND, org.usfirst.frc330.commands.commandgroups.HatchDefense ended
2019.02.28.16.50.10.772, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.50.10.772, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.50.13.732, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.50.13.751, COMMAND, org.usfirst.frc330.commands.HandOut initialized
2019.02.28.16.50.16.932, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall initialized
2019.02.28.16.50.16.932, COMMAND, org.usfirst.frc330.commands.BallKickExtend initialized
2019.02.28.16.50.16.934, INFO   , Extending Kicker
2019.02.28.16.50.16.934, COMMAND, org.usfirst.frc330.commands.BallKickExtend ended
2019.02.28.16.50.16.936, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.17.052, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.50.17.052, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.16.50.17.054, INFO   , Opening Claw
2019.02.28.16.50.17.055, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.16.50.17.055, COMMAND, org.usfirst.frc330.commands.ReversePickup initialized
2019.02.28.16.50.17.056, INFO   , Reversing Roller
2019.02.28.16.50.17.056, COMMAND, org.usfirst.frc330.commands.ReversePickup ended
2019.02.28.16.50.17.056, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.18.072, COMMAND, org.usfirst.frc330.commands.WaitCommand ended
2019.02.28.16.50.18.073, COMMAND, org.usfirst.frc330.commands.WaitCommand initialized
2019.02.28.16.50.18.433, COMMAND, org.usfirst.frc330.commands.HandOut interrupted
2019.02.28.16.50.18.452, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
2019.02.28.16.50.18.533, INFO   , Turning Roller off
2019.02.28.16.50.18.535, INFO   , Retracting Kicker
2019.02.28.16.50.18.535, COMMAND, org.usfirst.frc330.commands.WaitCommand interrupted
2019.02.28.16.50.18.536, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall ended
2019.02.28.16.50.18.536, COMMAND, org.usfirst.frc330.commands.commandgroups.EjectBall interrupted
2019.02.28.16.50.18.536, COMMAND, org.usfirst.frc330.commands.ManualLift interrupted
2019.02.28.16.50.18.536, COMMAND, org.usfirst.frc330.commands.ManualHand interrupted
2019.02.28.16.50.18.552, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup initialized
2019.02.28.16.50.18.552, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall initialized
2019.02.28.16.50.18.553, INFO   , Has Ball: false
2019.02.28.16.50.18.553, INFO   , Sensor: 8.35628670605593
2019.02.28.16.50.18.553, COMMAND, org.usfirst.frc330.commands.LoopIfWeHaveBall ended
2019.02.28.16.50.18.553, COMMAND, org.usfirst.frc330.commands.OpenClaw initialized
2019.02.28.16.50.18.555, INFO   , Opening Claw
2019.02.28.16.50.18.555, COMMAND, org.usfirst.frc330.commands.OpenClaw ended
2019.02.28.16.50.18.556, COMMAND, org.usfirst.frc330.commands.RollerOn initialized
2019.02.28.16.50.18.557, INFO   , Turning Roller On to 1.0% speed
2019.02.28.16.50.18.557, COMMAND, org.usfirst.frc330.commands.RollerOn ended
2019.02.28.16.50.18.558, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.50.18.559, INFO   , Setting hand angle to: -49.5
2019.02.28.16.50.18.561, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.50.18.563, INFO   , Lift Setpoint: 0.0
2019.02.28.16.50.18.563, INFO   , Lift Final Position: -0.061778022460937505
2019.02.28.16.50.18.563, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.50.18.672, INFO   , Final wrist setpoint: -49.402734375
2019.02.28.16.50.18.673, INFO   , Final hand angle: 10.978124999999999
2019.02.28.16.50.18.673, COMMAND, org.usfirst.frc330.commands.SetHandAngle interrupted
2019.02.28.16.50.18.674, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup ended
2019.02.28.16.50.18.674, COMMAND, org.usfirst.frc330.commands.commandgroups.SensoredBallPickup interrupted
2019.02.28.16.50.18.692, COMMAND, org.usfirst.frc330.commands.commandgroups.Defense initialized
2019.02.28.16.50.18.692, COMMAND, org.usfirst.frc330.commands.BallKickRetract initialized
2019.02.28.16.50.18.694, INFO   , Retracting Kicker
2019.02.28.16.50.18.695, COMMAND, org.usfirst.frc330.commands.BallKickRetract ended
2019.02.28.16.50.18.695, COMMAND, org.usfirst.frc330.commands.RollerOn initialized
2019.02.28.16.50.18.697, INFO   , Turning Roller On to 0.1% speed
2019.02.28.16.50.18.697, COMMAND, org.usfirst.frc330.commands.RollerOn ended
2019.02.28.16.50.18.698, COMMAND, org.usfirst.frc330.commands.CloseClaw initialized
2019.02.28.16.50.18.700, INFO   , CLosing Claw
2019.02.28.16.50.18.700, COMMAND, org.usfirst.frc330.commands.CloseClaw ended
2019.02.28.16.50.18.700, COMMAND, org.usfirst.frc330.commands.SetLiftPosition initialized
2019.02.28.16.50.18.701, INFO   , Lift Setpoint: 0.0
2019.02.28.16.50.18.702, INFO   , Lift Final Position: -0.05909202148437501
2019.02.28.16.50.18.702, COMMAND, org.usfirst.frc330.commands.SetLiftPosition ended
2019.02.28.16.50.18.702, COMMAND, org.usfirst.frc330.commands.SetHandAngle initialized
2019.02.28.16.50.18.703, INFO   , Setting hand angle to: 57.0
2019.02.28.16.50.19.193, INFO   , Final wrist setpoint: 57.120703125
2019.02.28.16.50.19.194, INFO   , Final hand angle: 57.120703125
2019.02.28.16.50.19.195, COMMAND, org.usfirst.frc330.commands.SetHandAngle ended
2019.02.28.16.50.19.195, COMMAND, org.usfirst.frc330.commands.commandgroups.Defense ended
2019.02.28.16.50.19.212, COMMAND, org.usfirst.frc330.commands.ManualLift initialized
2019.02.28.16.50.19.212, COMMAND, org.usfirst.frc330.commands.ManualHand initialized
